Publication,Identity,Type,Byline,Probable (cons),Probable (bal),Resembles / notes,Certainty,Mean sentiment,Years
Woman's Exponent,"Murdock, President Of The Primary",Full name,1,0,0,NA,NA,0.09,1883–1883
Woman's Exponent,"My Solicitation, Brother William Clayton",Full name,1,0,0,NA,NA,0.065,1886–1886
Woman's Exponent,My Spirit Sister Thine!,Full name,1,0,0,NA,NA,0.151,1880–1880
Woman's Exponent,Myrtha Tonks,Full name,1,0,0,NA,NA,0.097,1904–1904
Woman's Exponent,Mys Terious,Full name,1,0,0,NA,NA,0.073,1890–1890
Woman's Exponent,N. Hansen. Singing. Roll Called,Full name,1,0,0,NA,NA,0.1,1888–1888
Woman's Exponent,N. M. Tracy,Full name,1,0,0,NA,NA,0.039,1886–1886
Woman's Exponent,Nancy Allred,Full name,1,0,0,NA,NA,0.171,1897–1897
Woman's Exponent,Nancy Arete Clark,Full name,1,0,0,NA,NA,0.014,1882–1882
Woman's Exponent,Nancy H. Allred,Full name,1,0,0,NA,NA,0.145,1905–1905
Woman's Exponent,Nancy Nebeker,Full name,1,0,0,NA,NA,0.184,1885–1885
Woman's Exponent,Nancy Peel,Full name,1,0,0,NA,NA,0.192,1884–1884
Woman's Exponent,Nancy Riddle,Full name,1,0,0,NA,NA,0.107,1891–1891
Woman's Exponent,Naomi R. Theobold,Full name,1,0,0,NA,NA,-0.021,1907–1907
Woman's Exponent,Nellie Becraft,Full name,1,0,0,NA,NA,0.079,1907–1907
Woman's Exponent,Nellie Grace,Full name,1,0,0,NA,NA,0.073,1892–1892
Woman's Exponent,Nellie Parkinson,Full name,1,0,0,NA,NA,0.153,1886–1886
Woman's Exponent,Nellie Snow,Full name,1,0,0,NA,NA,0.082,1882–1882
Woman's Exponent,Nina Winslow Eckart,Full name,1,0,0,NA,NA,0.085,1898–1898
Woman's Exponent,No Surplus Women,Full name,1,0,0,NA,NA,0.188,1876–1876
Woman's Exponent,"Noble Men Inspired, Their Joy",Full name,1,0,0,NA,NA,0.133,1898–1898
Woman's Exponent,Noble Thoughts,Full name,1,0,0,NA,NA,0.092,1886–1886
Woman's Exponent,Nora Perry,Full name,1,0,0,NA,NA,0.066,1884–1884
Woman's Exponent,O. J. Wilson,Full name,1,0,0,NA,NA,0.092,1895–1895
Woman's Exponent,Obstetrics Akd Diseases Of Women,Full name,1,0,0,NA,NA,-0.037,1883–1883
Woman's Exponent,"Of One, Two Orthree Years",Full name,1,0,0,NA,NA,0,1876–1876
Woman's Exponent,Of Plymouth'S Foremothers—sena,Full name,1,0,0,NA,NA,0.136,1878–1878
Woman's Exponent,Of Services In Tabernacle,Full name,1,0,0,NA,NA,0.077,1880–1880
Woman's Exponent,Old Letter,Full name,1,0,0,NA,NA,0.034,1883–1883
Woman's Exponent,Old Maid,Full name,1,0,0,NA,NA,-0.002,1876–1876
Woman's Exponent,Olive A. Wardsworth,Full name,1,0,0,NA,NA,0.119,1873–1873
Woman's Exponent,Olive Harrington,Full name,1,0,0,NA,NA,0.143,1879–1879
Woman's Exponent,Olive Kimball,Full name,1,0,0,NA,NA,0.164,1903–1903
Woman's Exponent,Oliver Wendell Holmes,Full name,1,0,0,NA,NA,0.035,1894–1894
Woman's Exponent,One Of Nature'S Daughters,Full name,1,0,0,NA,NA,0.121,1878–1878
Woman's Exponent,One Of The Goslings,Full name,1,0,0,NA,NA,0.04,1890–1890
Woman's Exponent,Oregon Short Line Railroad,Full name,1,0,0,NA,NA,0,1898–1898
Woman's Exponent,Orilla Sheffield,Full name,1,0,0,NA,NA,0.112,1906–1906
Woman's Exponent,Orson F. Whitney,Full name,1,0,0,NA,NA,0,1886–1886
Woman's Exponent,Ottilie M. Schenfeld,Full name,1,0,0,NA,NA,0.083,1896–1896
Woman's Exponent,"Our Bishop. Singing, ""don'T Think",Full name,1,0,0,NA,NA,0.051,1878–1878
Woman's Exponent,Our Destiny,Full name,1,0,0,NA,NA,0.075,1875–1875
Woman's Exponent,Our Father You Are Sent,Full name,1,0,0,NA,NA,0.206,1893–1893
Woman's Exponent,Our Sire'S Told Long Ago,Full name,1,0,0,NA,NA,0.107,1902–1902
Woman's Exponent,Our Specialty Ladies' Ready-to-wear Garments,Full name,1,0,0,NA,NA,0.102,1910–1910
Woman's Exponent,P. E. Kofford,Full name,1,0,0,NA,NA,0.086,1876–1876
Woman's Exponent,P.e. Benson,Full name,1,0,0,NA,NA,0.149,1876–1876
Woman's Exponent,"Pace, Reporting The Stake Work",Full name,1,0,0,NA,NA,0.073,1911–1911
Woman's Exponent,Paid At,Full name,1,0,0,NA,NA,0,1878–1878
Woman's Exponent,Pain Paint,Full name,1,0,0,NA,NA,-0.118,1876–1876
Woman's Exponent,Patience And By Hope,Full name,1,0,0,NA,NA,0.115,1887–1887
Woman's Exponent,Patriarch Franklin Brim. Singing,Full name,1,0,0,NA,NA,0.082,1900–1900
Woman's Exponent,Patriarch Phileman Merrill. Singing,Full name,1,0,0,NA,NA,0.046,1897–1897
Woman's Exponent,Pauline Dastrup,Full name,1,0,0,NA,NA,-0.028,1900–1900
Woman's Exponent,Pauline Larson,Full name,1,0,0,NA,NA,0.132,1879–1879
Woman's Exponent,Pauline Pace,Full name,1,0,0,NA,NA,0.128,1885–1885
Woman's Exponent,People From Afar,Full name,1,0,0,NA,NA,0.067,1873–1873
Woman's Exponent,People'S Platform,Full name,1,0,0,NA,NA,0,1889–1889
Woman's Exponent,Phebe A. M. Mcniel,Full name,1,0,0,NA,NA,0.152,1912–1912
Woman's Exponent,Phebe A. Mcneil,Full name,1,0,0,NA,NA,0,1887–1887
Woman's Exponent,Phebe A. Merkeley,Full name,1,0,0,NA,NA,0.12,1907–1907
Woman's Exponent,Phebe C. Young,Full name,1,0,0,NA,NA,0.049,1891–1891
Woman's Exponent,Phebe Taylor,Full name,1,0,0,NA,NA,0.074,1890–1890
Woman's Exponent,Phebe Woodruff,Full name,1,0,0,NA,NA,0.037,1877–1877
Woman's Exponent,Phillis Beckstrom,Full name,1,0,0,NA,NA,0.083,1897–1897
Woman's Exponent,Phoebe C. Young,Full name,1,0,0,NA,NA,-0.045,1896–1896
Woman's Exponent,Phœbe C. Young,Full name,1,0,0,NA,NA,0.017,1896–1896
Woman's Exponent,Pirena Jameson,Full name,1,0,0,NA,NA,0.147,1886–1886
Woman's Exponent,Ponent. Delilah F. Cox,Full name,1,0,0,NA,NA,0.127,1883–1883
Woman's Exponent,Presidents Of Different Branches,Full name,1,0,0,NA,NA,0.054,1886–1886
Woman's Exponent,"Prest. Steele; Second, Coun. Mcgregor",Full name,1,0,0,NA,NA,0.018,1886–1886
Woman's Exponent,Prophet'S Voice Declared That Which,Full name,1,0,0,NA,NA,0.026,1912–1912
Woman's Exponent,R. Alice Mcbride,Full name,1,0,0,NA,NA,0.06,1907–1907
Woman's Exponent,R. B. Pratt,Full name,1,0,0,NA,NA,0.003,1891–1891
Woman's Exponent,R. C. Atwood,Full name,1,0,0,NA,NA,0.027,1885–1885
Woman's Exponent,R. F. Barr,Full name,1,0,0,NA,NA,0.114,1887–1887
Woman's Exponent,"R. N. Allred. Singing, ""we",Full name,1,0,0,NA,NA,0.133,1895–1895
Woman's Exponent,R. Pond,Full name,1,0,0,NA,NA,0.048,1888–1888
Woman's Exponent,R. S. Reports,Full name,1,0,0,NA,NA,0.03,1899–1899
Woman's Exponent,R. Smith,Full name,1,0,0,NA,NA,0.091,1877–1877
Woman's Exponent,R. W. Easterbrooks,Full name,1,0,0,NA,NA,-0.031,1875–1875
Woman's Exponent,"R.l. Campbell, Before The Utah",Full name,1,0,0,NA,NA,0.06,1872–1872
Woman's Exponent,Rachel Isaacs,Full name,1,0,0,NA,NA,0.158,1903–1903
Woman's Exponent,Ray Hulbert,Full name,1,0,0,NA,NA,0.167,1903–1903
Woman's Exponent,Rays Reflected Through Rifted Cloud,Full name,1,0,0,NA,NA,0.164,1890–1890
Woman's Exponent,Reba B. Pratt,Full name,1,0,0,NA,NA,0.161,1885–1885
Woman's Exponent,"Rebecca E. Little, Delegate",Full name,1,0,0,NA,NA,0.109,1905–1905
Woman's Exponent,Rebecca Goff,Full name,1,0,0,NA,NA,0.114,1882–1882
Woman's Exponent,Rebecca Wareham,Full name,1,0,0,NA,NA,0.045,1881–1881
Woman's Exponent,Reflections On Charity And,Full name,1,0,0,NA,NA,-0.029,1873–1873
Woman's Exponent,Representative Women Of The,Full name,1,0,0,NA,NA,0.046,1890–1890
Woman's Exponent,Request Of President Sophronia Cook,Full name,1,0,0,NA,NA,0.163,1875–1875
Woman's Exponent,Reuben Simpson,Full name,1,0,0,NA,NA,0.066,1875–1875
Woman's Exponent,Reuben Sympson,Full name,1,0,0,NA,NA,0.105,1875–1875
Woman's Exponent,Rhoda A. Lyman,Full name,1,0,0,NA,NA,0.07,1911–1911
Woman's Exponent,"Rhoda A. Miller, Pres",Full name,1,0,0,NA,NA,0.029,1882–1882
Woman's Exponent,Rhoda C. Nash,Full name,1,0,0,NA,NA,0.052,1898–1898
Woman's Exponent,Rhoda E. Foster,Full name,1,0,0,NA,NA,0.016,1885–1885
Woman's Exponent,Rhoda Hinman,Full name,1,0,0,NA,NA,0.071,1886–1886
Woman's Exponent,Rhoda Lyman,Full name,1,0,0,NA,NA,0.056,1884–1884
Woman's Exponent,Rhoda M. Hendricks,Full name,1,0,0,NA,NA,0.038,1903–1903
Woman's Exponent,Rinta Snow,Full name,1,0,0,NA,NA,0.069,1908–1908
Woman's Exponent,Rio Grande Western Railway,Full name,1,0,0,NA,NA,0.062,1892–1892
Woman's Exponent,Rippling Brook And River,Full name,1,0,0,NA,NA,0.086,1894–1894
Woman's Exponent,Rite Performed As God Enjoins,Full name,1,0,0,NA,NA,0.193,1884–1884
Woman's Exponent,Romania B. Pratt. Prayer By,Full name,1,0,0,NA,NA,0.028,1897–1897
Woman's Exponent,Romanina B. Pratt,Full name,1,0,0,NA,NA,-0.068,1898–1898
Woman's Exponent,Rosa Pearle,Full name,1,0,0,NA,NA,0.178,1898–1898
Woman's Exponent,Rosa Rousch,Full name,1,0,0,NA,NA,0.118,1891–1891
Woman's Exponent,Rose B. Musser,Full name,1,0,0,NA,NA,0.081,1904–1904
Woman's Exponent,Rules Of Conversation For,Full name,1,0,0,NA,NA,-0.012,1873–1873
Woman's Exponent,Ruth M. Fof,Full name,1,0,0,NA,NA,0.198,1897–1897
Woman's Exponent,S. E. C. Williamson,Full name,1,0,0,NA,NA,0.026,1908–1908
Woman's Exponent,S. E. Josephson,Full name,1,0,0,NA,NA,0.031,1890–1890
Woman's Exponent,S. E. Pratt,Full name,1,0,0,NA,NA,0.132,1876–1876
Woman's Exponent,S. E. Russel,Full name,1,0,0,NA,NA,0.101,1889–1889
Woman's Exponent,S. Graves,Full name,1,0,0,NA,NA,0.004,1890–1890
Woman's Exponent,S. M. Boyack,Full name,1,0,0,NA,NA,0.041,1886–1886
Woman's Exponent,S. M. C. Perkins,Full name,1,0,0,NA,NA,0.018,1872–1872
Woman's Exponent,S. M. Kimball. Singing,Full name,1,0,0,NA,NA,0.069,1873–1873
Woman's Exponent,S. Tibbs,Full name,1,0,0,NA,NA,0.108,1876–1876
Woman's Exponent,S.p. Teasdel,Full name,1,0,0,NA,NA,-0.029,1881–1881
Woman's Exponent,Sadie Cole,Full name,1,0,0,NA,NA,0.147,1909–1909
Woman's Exponent,Salt L[,Full name,1,0,0,NA,NA,0,1879–1879
Woman's Exponent,Sara Andrews Spencer,Full name,1,0,0,NA,NA,0,1879–1879
Woman's Exponent,Sarah A. Barnes,Full name,1,0,0,NA,NA,0.056,1903–1903
Woman's Exponent,Sarah A. Boyer,Full name,1,0,0,NA,NA,0.032,1895–1895
Woman's Exponent,Sarah A. Foutz,Full name,1,0,0,NA,NA,0.147,1902–1902
Woman's Exponent,Sarah A. Howard,Full name,1,0,0,NA,NA,0.101,1895–1895
Woman's Exponent,Sarah Alexander,Full name,1,0,0,NA,NA,0.136,1886–1886
Woman's Exponent,Sarah Andrews Spencer,Full name,1,0,0,NA,NA,0.07,1878–1878
Woman's Exponent,Sarah Ann Reeves,Full name,1,0,0,NA,NA,0.148,1882–1882
Woman's Exponent,Sarah Boyer,Full name,1,0,0,NA,NA,0.053,1895–1895
Woman's Exponent,Sarah Brewerton,Full name,1,0,0,NA,NA,0.15,1886–1886
Woman's Exponent,Sarah Burr,Full name,1,0,0,NA,NA,0.044,1889–1889
Woman's Exponent,Sarah Burton,Full name,1,0,0,NA,NA,0.046,1886–1886
Woman's Exponent,Sarah Buxton,Full name,1,0,0,NA,NA,0.066,1890–1890
Woman's Exponent,Sarah E. Bolton,Full name,1,0,0,NA,NA,0.111,1878–1878
Woman's Exponent,Sarah E. Carmichael,Full name,1,0,0,NA,NA,0.053,1909–1909
Woman's Exponent,Sarah E. Robinson,Full name,1,0,0,NA,NA,0.032,1884–1884
Woman's Exponent,Sarah E. Russell,Full name,1,0,0,NA,NA,0.229,1904–1904
Woman's Exponent,Sarah Finlayson,Full name,1,0,0,NA,NA,0.125,1896–1896
Woman's Exponent,"Sarah H. Taylor. Singing, ""did",Full name,1,0,0,NA,NA,0.097,1894–1894
Woman's Exponent,Sarah Jenne Cannon,Full name,1,0,0,NA,NA,0,1907–1907
Woman's Exponent,Sarah K. Bolton,Full name,1,0,0,NA,NA,0.268,1891–1891
Woman's Exponent,Sarah K. Butters,Full name,1,0,0,NA,NA,-0.161,1890–1890
Woman's Exponent,Sarah Kimball,Full name,1,0,0,NA,NA,0.061,1889–1889
Woman's Exponent,Sarah Layton,Full name,1,0,0,NA,NA,0.033,1875–1875
Woman's Exponent,Sarah M. Crosby,Full name,1,0,0,NA,NA,0.176,1904–1904
Woman's Exponent,Sarah M. Pomeroy,Full name,1,0,0,NA,NA,0.078,1878–1878
Woman's Exponent,Sarah Mcmaster,Full name,1,0,0,NA,NA,0.079,1893–1893
Woman's Exponent,Sarah Mcmurrin Hilton,Full name,1,0,0,NA,NA,0.088,1892–1892
Woman's Exponent,Sarah Miller,Full name,1,0,0,NA,NA,-0.018,1886–1886
Woman's Exponent,Sarah Roberts,Full name,1,0,0,NA,NA,-0.037,1887–1887
Woman's Exponent,Sarah Roberts. Pres'T,Full name,1,0,0,NA,NA,0.054,1881–1881
Woman's Exponent,Sarah Russell,Full name,1,0,0,NA,NA,0.238,1887–1887
Woman's Exponent,Sarah S. Forsyth,Full name,1,0,0,NA,NA,0.141,1903–1903
Woman's Exponent,Sarah Webb,Full name,1,0,0,NA,NA,0.094,1904–1904
Woman's Exponent,Sarah Wheeler,Full name,1,0,0,NA,NA,0.137,1876–1876
Woman's Exponent,Sarepta E. Cowles,Full name,1,0,0,NA,NA,0.051,1908–1908
Woman's Exponent,Scripture Lessons Making Every Word,Full name,1,0,0,NA,NA,0.093,1895–1895
Woman's Exponent,Senator Hoar,Full name,1,0,0,NA,NA,0,1884–1884
Woman's Exponent,Sentiments From Shakespeare. Minutes,Full name,1,0,0,NA,NA,0.01,1898–1898
Woman's Exponent,Sentiments. The Secretary Read The,Full name,1,0,0,NA,NA,0.028,1895–1895
Woman's Exponent,Shall Never Come Message Or,Full name,1,0,0,NA,NA,0.08,1889–1889
Woman's Exponent,"Show Cases, Mirrors",Full name,1,0,0,NA,NA,0,1893–1893
Woman's Exponent,"Singing ""come, Come Ye Saints",Full name,1,0,0,NA,NA,0.11,1896–1896
Woman's Exponent,"Singing ""help The Working Women",Full name,1,0,0,NA,NA,0.053,1892–1892
Woman's Exponent,"Singing, ""o, Ye Mountains High",Full name,1,0,0,NA,NA,0.158,1895–1895
Woman's Exponent,Singing. Prayer By Coun. Rigby,Full name,1,0,0,NA,NA,0.125,1888–1888
Woman's Exponent,"Smith. Singing, ""oh Ye Moun",Full name,1,0,0,NA,NA,0.062,1902–1902
Woman's Exponent,Somanthia T. Boise,Full name,1,0,0,NA,NA,-0.005,1886–1886
Woman's Exponent,Sophia M. Burgess,Full name,1,0,0,NA,NA,0.055,1884–1884
Woman's Exponent,Special Invitation The December Meet,Full name,1,0,0,NA,NA,0.028,1901–1901
Woman's Exponent,Special Invitation The Denver Branch,Full name,1,0,0,NA,NA,0.06,1898–1898
Woman's Exponent,Special Notice,Full name,1,0,0,NA,NA,0.053,1884–1884
Woman's Exponent,Special Request Presided. After The,Full name,1,0,0,NA,NA,0.049,1905–1905
Woman's Exponent,Spencer Clawson,Full name,1,0,0,NA,NA,0.071,1896–1896
Woman's Exponent,Spring Beds Wire Mattresses,Full name,1,0,0,NA,NA,0,1879–1879
Woman's Exponent,Spring Beds. Wire Mattresses,Full name,1,0,0,NA,NA,0.055,1879–1879
Woman's Exponent,State Normal School,Full name,1,0,0,NA,NA,0.053,1902–1902
Woman's Exponent,State School Of Mines,Full name,1,0,0,NA,NA,0,1902–1902
Woman's Exponent,Supernal Beams Of Knowledge,Full name,1,0,0,NA,NA,0.231,1881–1881
Woman's Exponent,Susan Coolidge,Full name,1,0,0,NA,NA,0.018,1902–1902
Woman's Exponent,Susan G. Cooke,Full name,1,0,0,NA,NA,0.057,1892–1892
Woman's Exponent,Susanna D. Pinney,Full name,1,0,0,NA,NA,0.108,1877–1877
Woman's Exponent,Susanna Pickering,Full name,1,0,0,NA,NA,0.182,1902–1902
Woman's Exponent,Susannah R. Lawson,Full name,1,0,0,NA,NA,0.068,1886–1886
Woman's Exponent,Susannah S. Fackrell,Full name,1,0,0,NA,NA,0.129,1885–1885
Woman's Exponent,Susie Tebbs,Full name,1,0,0,NA,NA,0.083,1886–1886
Woman's Exponent,Sweet Links Unbound,Full name,1,0,0,NA,NA,0.086,1902–1902
Woman's Exponent,Sympathy'S Offering,Full name,1,0,0,NA,NA,0.171,1893–1893
Woman's Exponent,T. Avery. Singing. Mrs. T.,Full name,1,0,0,NA,NA,-0.005,1878–1878
Woman's Exponent,Temple Of Fashion,Full name,1,0,0,NA,NA,-0.012,1876–1876
Woman's Exponent,Temple Of Fasion,Full name,1,0,0,NA,NA,-0.012,1876–1876
Woman's Exponent,The,Full name,1,0,0,NA,NA,0.071,1889–1889
Woman's Exponent,The Congregation. Prayer Was Offered,Full name,1,0,0,NA,NA,0.069,1901–1901
Woman's Exponent,The Daily Cross,Full name,1,0,0,NA,NA,0.074,1896–1896
Woman's Exponent,The Daughters Of T[,Full name,1,0,0,NA,NA,0.07,1904–1904
Woman's Exponent,"The Different Members, And Contributed",Full name,1,0,0,NA,NA,-0.033,1879–1879
Woman's Exponent,The Edwards Centennial,Full name,1,0,0,NA,NA,0.007,1903–1903
Woman's Exponent,The Faggot'S Cruel Glow,Full name,1,0,0,NA,NA,0.033,1885–1885
Woman's Exponent,The Ladies Of Payson,Full name,1,0,0,NA,NA,0.058,1878–1878
Woman's Exponent,The Man Of God Selected,Full name,1,0,0,NA,NA,0.125,1876–1876
Woman's Exponent,The People'S Territorial Central,Full name,1,0,0,NA,NA,-0.013,1884–1884
Woman's Exponent,The Probate Court,Full name,1,0,0,NA,NA,0.008,1872–1872
Woman's Exponent,The Same,Full name,1,0,0,NA,NA,-0.008,1876–1876
Woman's Exponent,The Secretary,Full name,1,0,0,NA,NA,0.07,1885–1885
Woman's Exponent,The Secretary. Pres. Olivia Widerborg,Full name,1,0,0,NA,NA,0.081,1890–1890
Woman's Exponent,The Striking Miners,Full name,1,0,0,NA,NA,0.011,1872–1872
Woman's Exponent,The Subject Of This Sketch,Full name,1,0,0,NA,NA,0.058,1886–1886
Woman's Exponent,Their Respective Presidents. The Financial,Full name,1,0,0,NA,NA,0.083,1881–1881
Woman's Exponent,"Their Respective Presidents: Taylor, Show",Full name,1,0,0,NA,NA,0.081,1885–1885
Woman's Exponent,Therese A. Jenkins,Full name,1,0,0,NA,NA,0.051,1891–1891
Woman's Exponent,Thine Eternal Law And Covenant,Full name,1,0,0,NA,NA,0.172,1885–1885
Woman's Exponent,Thomas Morris,Full name,1,0,0,NA,NA,0.029,1880–1880
Woman's Exponent,Those Needing His Services,Full name,1,0,0,NA,NA,0.047,1884–1884
Woman's Exponent,Three Years,Full name,1,0,0,NA,NA,-0.12,1876–1876
Woman's Exponent,Thy Robe Of Purest Whiteness,Full name,1,0,0,NA,NA,0.086,1884–1884
Woman's Exponent,To Young Husbands,Full name,1,0,0,NA,NA,0.068,1875–1875
Woman's Exponent,Treating Them With Camphorated Alcohol,Full name,1,0,0,NA,NA,0.078,1874–1874
Woman's Exponent,"Tune, ""aunt Sally",Full name,1,0,0,NA,NA,0.023,1876–1876
Woman's Exponent,Unanimous Vote: Mrs. Elizabeth Taylor,Full name,1,0,0,NA,NA,0.089,1884–1884
Woman's Exponent,University Of Utah,Full name,1,0,0,NA,NA,0,1902–1902
Woman's Exponent,Ushering In Majority,Full name,1,0,0,NA,NA,0.096,1883–1883
Woman's Exponent,Verdant Hills 'Neath Forest Shades,Full name,1,0,0,NA,NA,0.086,1905–1905
Woman's Exponent,Via The,Full name,1,0,0,NA,NA,0.107,1897–1897
Woman's Exponent,Victoria Alexandra Stone,Full name,1,0,0,NA,NA,0.1,1896–1896
Woman's Exponent,Violet Owens,Full name,1,0,0,NA,NA,0.087,1885–1885
Woman's Exponent,"Virginia L, Minor",Full name,1,0,0,NA,NA,0.058,1878–1878
Woman's Exponent,W. F. Hatfield,Full name,1,0,0,NA,NA,0.101,1877–1877
Woman's Exponent,W. G. C. Edholm,Full name,1,0,0,NA,NA,0.046,1892–1892
Woman's Exponent,"W. H. T, Bancrof",Full name,1,0,0,NA,NA,0,1899–1899
Woman's Exponent,"Wadroup Of Centreville, Of Pure",Full name,1,0,0,NA,NA,0.031,1877–1877
Woman's Exponent,Walter Bruce,Full name,1,0,0,NA,NA,0.121,1889–1889
Woman's Exponent,Wandering Boy,Full name,1,0,0,NA,NA,0.021,1885–1885
Woman's Exponent,"Washington Corrington, A. Millionaire",Full name,1,0,0,NA,NA,-0.03,1897–1897
Woman's Exponent,Whitest! Strongest! Best!,Full name,1,0,0,NA,NA,0.4,1879–1879
Woman's Exponent,Whom A. Thousand Duties Done,Full name,1,0,0,NA,NA,0.006,1879–1879
Woman's Exponent,Whom They Come,Full name,1,0,0,NA,NA,-0.002,1880–1880
Woman's Exponent,Will Open Her,Full name,1,0,0,NA,NA,0,1894–1894
Woman's Exponent,"William Budge, Singing Again; The",Full name,1,0,0,NA,NA,0.093,1890–1890
Woman's Exponent,William M. Bromley,Full name,1,0,0,NA,NA,0.111,1882–1882
Woman's Exponent,William Mckinley,Full name,1,0,0,NA,NA,0.065,1898–1898
Woman's Exponent,William Ross Wallace,Full name,1,0,0,NA,NA,0.096,1873–1873
Woman's Exponent,William W. Story,Full name,1,0,0,NA,NA,0.174,1909–1909
Woman's Exponent,Winter Coods,Full name,1,0,0,NA,NA,0,1878–1878
Woman's Exponent,Winter Evening Reveries,Full name,1,0,0,NA,NA,0.074,1876–1876
Woman's Exponent,Wm. H. S. Atkinson,Full name,1,0,0,NA,NA,-0.148,1887–1887
Woman's Exponent,"Wm. L. Skidmore. Singing, ""we",Full name,1,0,0,NA,NA,0.1,1882–1882
Woman's Exponent,Wm. Paxman. Singing,Full name,1,0,0,NA,NA,0.175,1897–1897
Woman's Exponent,Wm. Willis,Full name,1,0,0,NA,NA,-0.039,1876–1876
Woman's Exponent,Woman'S Journal,Full name,1,0,0,NA,NA,0.013,1882–1882
Woman's Exponent,Yet Presented Before Congress,Full name,1,0,0,NA,NA,0.031,1885–1885
Woman's Exponent,Your Loving Daughter,Full name,1,0,0,NA,NA,0.176,1875–1875
Woman's Exponent,Z. D. H. Young,Full name,1,0,0,NA,NA,0.143,1888–1888
Woman's Exponent,Zella Litchfield,Full name,1,0,0,NA,NA,0.118,1906–1906
Woman's Exponent,Zephyrs Borne Along,Full name,1,0,0,NA,NA,0.058,1891–1891
Woman's Exponent,Zina Young Card,Full name,1,0,0,NA,NA,0.175,1901–1901
Woman's Exponent,E. T.,Initials,7,0,0,L. M. Hewlings,86%,0.108,1888–1891
Woman's Exponent,S. E. R.,Initials,7,0,0,Mary Ellen Kimball,66%,0.065,1883–1912
Woman's Exponent,E. J.,Initials,6,0,0,Emmeline B. Wells,74%,0.052,1886–1900
Woman's Exponent,W. E.,Initials,6,0,0,Mary Ellen Kimball,86%,0.03,1872–1876
Woman's Exponent,E. S. D.,Initials,5,0,0,Augusta Joyce Crocheron,91%,0.106,1882–1886
Woman's Exponent,H. M.,Initials,5,0,0,Mary Ellen Kimball,77%,0.088,1877–1887
Woman's Exponent,C. L. W.,Initials,4,0,0,Ellis R. Shipp,50%,0.16,1888–1893
Woman's Exponent,M. J. C.,Initials,4,0,0,Eliza R. Snow,64%,0.066,1875–1880
Woman's Exponent,O. F. W.,Initials,4,0,0,Eliza R. Snow,62%,0.045,1875–1882
Woman's Exponent,A. L. B.,Initials,3,0,0,Augusta Joyce Crocheron,90%,0.095,1876–1887
Woman's Exponent,E. B.,Initials,3,0,0,Hannah T. King,60%,0.058,1878–1890
Woman's Exponent,E. D. N.,Initials,3,0,0,Ellis R. Shipp,45%,0.064,1892–1895
Woman's Exponent,H. B. B.,Initials,3,0,0,Eliza R. Snow,94%,0.007,1886–1888
Woman's Exponent,H. M. W.,Initials,3,0,0,Helen Mar Whitney,94%,0.05,1875–1886
Woman's Exponent,L. G. R.,Initials,3,0,0,Emmeline B. Wells,92%,0.081,1877–1887
Woman's Exponent,L. L.,Initials,3,0,0,Emily Hill Woodmansee,39%,0.068,1872–1872
Woman's Exponent,L. M. W.,Initials,3,0,0,Emmeline B. Wells,43%,0.061,1888–1894
Woman's Exponent,M. A. T.,Initials,3,0,0,Mary Ann M. Pratt,40%,0.084,1890–1893
Woman's Exponent,M. B.,Initials,3,0,0,Mary Ellen Kimball,53%,0.059,1885–1887
Woman's Exponent,M. M.,Initials,3,0,0,Mary Ann M. Pratt,96%,0.101,1876–1894
Woman's Exponent,R. N. Y.,Initials,3,0,0,Ellis R. Shipp,81%,0.06,1873–1875
Woman's Exponent,S. M. K.,Initials,3,0,0,Hannah T. King,96%,0.109,1873–1891
Woman's Exponent,S. M. P.,Initials,3,0,0,Emmeline B. Wells,94%,0.081,1877–1891
Woman's Exponent,S. T. B.,Initials,3,0,0,Lydia D. Alder,45%,0.09,1880–1897
Woman's Exponent,S. Y. D.,Initials,3,0,0,Emily B. Spencer,31%,0.091,1876–1876
Woman's Exponent,A. C.,Initials,2,0,0,Helen Mar Whitney,33%,0.04,1882–1889
Woman's Exponent,A. J. R.,Initials,2,0,0,Lydia D. Alder,95%,0.006,1888–1889
Woman's Exponent,A. M.,Initials,2,0,0,Emily B. Spencer,41%,0.074,1880–1901
Woman's Exponent,A. M. H.,Initials,2,0,0,Lydia D. Alder,34%,0.082,1898–1902
Woman's Exponent,A. Q.,Initials,2,0,0,Lydia D. Alder,39%,0.191,1879–1879
Woman's Exponent,A. T.,Initials,2,0,0,Mary Ann M. Pratt,52%,0.017,1887–1891
Woman's Exponent,B. R.,Initials,2,0,0,Emmeline B. Wells,77%,0.087,1874–1902
Woman's Exponent,C. D. P.,Initials,2,0,0,Zina D. H. Young,59%,0.094,1890–1891
Woman's Exponent,C. E. H.,Initials,2,0,0,M. J. Tanner,93%,0.11,1878–1890
Woman's Exponent,E. A. B.,Initials,2,0,0,M. J. Tanner,47%,0.03,1872–1882
Woman's Exponent,E. BW.,Initials,2,0,0,Augusta Joyce Crocheron,70%,0.064,1891–1895
Woman's Exponent,E. D. M.,Initials,2,0,0,Zina D. H. Young,80%,0.131,1886–1894
Woman's Exponent,E. E. D.,Initials,2,0,0,Helen Mar Whitney,72%,0.1,1873–1873
Woman's Exponent,E. L. G.,Initials,2,0,0,Augusta Joyce Crocheron,100%,0.038,1893–1893
Woman's Exponent,E. S.,Initials,2,0,0,Lydia D. Alder,66%,0.095,1877–1899
